Id,Label,mergenode,businesstable
1,MATERIAL_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
2,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
3,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE.E18,strings
4,PHASE_TYPE_ASSIGNMENT.E17,PRODUCTION.E12,
5,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
6,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
8,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
9,DESIGNATION_OR_PROTECTION_FROM_DATE.E49,RIGHT.E30,dates
11,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
12,DATE_CONDITION_ASSESSED.E49,CONDITION_ASSESSMENT.E14,dates
13,CONDITION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
14,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
15,TIME-SPAN_PHASE.E52,PRODUCTION.E12,
16,NAME_TYPE.E55,HERITAGE_RESOURCE.E18,domains
17,NAME.E41,HERITAGE_RESOURCE.E18,strings
18,UNIT_OF_MEASUREMENT.E55,HERITAGE_RESOURCE.E18,domains
20,CONDITION_STATE.E3,CONDITION_ASSESSMENT.E14,
21,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
22,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.E32,RIGHT.E30,strings
23,EXTERNAL_XREF_TYPE.E55,HERITAGE_RESOURCE.E18,domains
24,DESIGN_OR_PROCEDURE.E29,PRODUCTION.E12,
25,COMPONENT_TYPE.E55,PRODUCTION.E12,domains
28,VALUE_OF_MEASUREMENT.E60,HERITAGE_RESOURCE.E18,strings
30,CONSTRUCTION_TECHNIQUE.E55,PRODUCTION.E12,domains
31,PLACE_ADDRESS.E45,PLACE.E53,strings
32,ADMINISTRATIVE_SUBDIVISION.E48,PLACE.E53,strings
34,PRODUCTION.E12,HERITAGE_RESOURCE.E18,
36,MEASUREMENT_TYPE.E55,HERITAGE_RESOURCE.E18,domains
37,CONDITION_ASSESSMENT.E14,HERITAGE_RESOURCE.E18,
40,COMPONENT_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
