Id,Label,mergenode,businesstable
1,EXTERNAL_XREF_TYPE_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
2,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
3,PHASE_TYPE_ASSIGNMENT.E17,PRODUCTION.E12,
4,SPATIAL_COORDINATES_GEOMETRY.E47,PLACE.E53,geometries
5,HERITAGE_RESOURCE_GROUP_TYPE_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
7,DESCRIPTION_OF_LOCATION.E62,PLACE.E53,strings
8,DESIGNATION_OR_PROTECTION_FROM_DATE.E49,RIGHT.E30,dates
10,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.E32,PLACE.E53,strings
11,DATE_CONDITION_ASSESSED.E49,CONDITION_ASSESSMENT.E14,dates
12,CONDITION_TYPE.E55,CONDITION_ASSESSMENT.E14,domains
13,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.E32,PRODUCTION.E12,strings
14,TIME-SPAN_PHASE.E52,PRODUCTION.E12,
15,NAME_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
16,NAME.E41,HERITAGE_RESOURCE_GROUP.E27,strings
17,UNIT_OF_MEASUREMENT.E55,HERITAGE_RESOURCE_GROUP.E27,domains
19,CONDITION_STATE.E3,CONDITION_ASSESSMENT.E14,
20,GEOMETRY_QUALIFIER.E55,PLACE.E53,domains
21,TYPE_OF_DESIGNATION_OR_PROTECTION_AUTHORITY_DOCUMENT.E32,RIGHT.E30,strings
22,EXTERNAL_XREF_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
25,VALUE_OF_MEASUREMENT.E60,HERITAGE_RESOURCE_GROUP.E27,strings
27,PLACE_ADDRESS.E45,PLACE.E53,strings
28,ADMINISTRATIVE_SUBDIVISION.E48,PLACE.E53,strings
30,PRODUCTION.E12,HERITAGE_RESOURCE_GROUP.E27,
32,MEASUREMENT_TYPE.E55,HERITAGE_RESOURCE_GROUP.E27,domains
33,CONDITION_ASSESSMENT.E14,HERITAGE_RESOURCE_GROUP.E27,
36,KEYWORD_AUTHORITY_DOCUMENT.E32,HERITAGE_RESOURCE_GROUP.E27,strings
37,HERITAGE_RESOURCE_GROUP_TYPE.E55,PRODUCTION.E12,domains
38,DESIGNATION_OR_PROTECTION_TO_DATE.E49,RIGHT.E30,dates
39,PLACE_SITE_LOCATION.E53,PLACE.E53,
40,TYPE_OF_DESIGNATION_OR_PROTECTION.E55,RIGHT.E30,domains
41,KEYWORD.E55,HERITAGE_RESOURCE_GROUP.E27,domains
